Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0.33028117,0.76320004,14/02/2018 08:30:19,-0.552702,-0.6760476,0.73142487,0.76161236,0.90638006,0.8483558,0.0,0.8479932,0.86485785,0.9166621,0.0,0.91532004,0.91783303,0.82852215,-0.005630132,-0.5998995,-0.53100467,-0.5855281,-0.3005866,-0.60201603,-0.56645197,-0.4902944,-0.5734365,1.5404595,0.21982732,0.2826043,0.3556866,0.33851847,1.4863203,0.0,0.0,0.0,0.0,0.71484923,0.73662806,-0.07340919,0.51947385,0.0,0.90675235,0.8984263,0.90547585,0.9468145,0.0,0.0,0.0,0.7632,0.0,0.0,0.0,0.0,0.7667666,0.89999396,0.8479932,0.91532004,0.0,0.0,0.0,0.0,0.0,0.0,-0.6760476,0.76161236,0.73142487,0.90638006,0.76243085,-0.10838038,0.57907426,0.7632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.33028117,0.76320004,14/02/2018 08:48:12,-0.560877,-0.6760476,0.73142487,0.76606107,0.90638006,0.8531265,0.0,0.85276,0.8696712,0.9166621,0.0,0.91532004,0.91783303,0.8630472,0.00020340049,-0.6072267,-0.5313598,-0.5868019,-0.12629785,-0.60402143,-0.5724597,-0.48486203,-0.57353777,-0.10832602,0.18973866,0.24756597,0.3382426,0.3144839,2.5966299,0.0,0.0,0.0,0.0,0.71484923,0.73662806,-0.07089911,0.54513276,0.0,0.90675235,0.9000759,0.9062947,0.9484272,0.0,0.0,0.0,0.7632,0.0,0.0,0.0,0.0,0.7667666,0.90164423,0.85276,0.91532004,0.0,0.0,0.0,0.0,0.0,0.0,-0.6760476,0.76606107,0.73142487,0.90638006,0.76243085,-0.10838038,0.57907426,0.7632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.33028117,0.76320004,14/02/2018 08:53:51,-0.7440715,-0.6760476,0.73142487,-0.51962256,-0.62353045,-0.52560574,0.0,-0.52480984,-0.521396,-0.6120628,0.0,-0.6167496,-0.6106366,-0.23530242,0.2079704,-0.77142495,-0.5342573,-0.48581532,-0.28896737,-0.544491,-0.39412257,-0.32160598,-0.47428098,1.0885081,0.43348843,0.53141385,0.6673067,0.630956,1.5603409,0.0,0.0,0.0,0.0,0.71484923,0.73662806,0.018500322,1.4590062,0.0,-0.63195586,-0.5928212,-0.60870814,-0.9813183,0.0,0.0,0.0,0.7632,0.0,0.0,0.0,0.0,0.7667666,-0.591905,-0.52480984,-0.6167496,0.0,0.0,0.0,0.0,0.0,0.0,-0.6760476,-0.51962256,0.73142487,-0.62353045,0.76243085,1.904533,0.57907426,0.7632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.33028117,0.76320004,14/02/2018 08:57:14,-0.56721395,-0.6760476,0.73142487,0.76161236,0.9038964,0.8483558,0.0,0.8479932,0.86485785,0.9141804,0.0,0.9128329,0.91535175,0.8860743,0.0048561697,-0.6129066,-0.5398413,-0.59454656,-0.24249035,-0.60879296,-0.58675385,-0.49797368,-0.58150125,-0.20039017,0.18432902,0.24126637,0.31655294,0.29813838,1.8564235,0.0,0.0,0.0,0.0,0.71484923,0.73662806,-0.06889707,0.56559825,0.0,0.90425444,0.89677674,0.9033964,0.94272214,0.0,0.0,0.0,0.7632,0.0,0.0,0.0,0.0,0.7667666,0.8983437,0.8479932,0.9128329,0.0,0.0,0.0,0.0,0.0,0.0,-0.6760476,0.76161236,0.73142487,0.9038964,0.76243085,-0.10838038,0.57907426,0.7632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.33028117,0.76320004,14/02/2018 09:19:47,-0.5349735,-0.6760476,0.73142487,0.76606107,0.90638006,0.8531265,0.0,0.85276,0.8696712,0.9166621,0.0,0.91532004,0.91783303,0.7621216,-0.017666986,-0.5840093,-0.5366858,-0.58452606,-0.12629785,-0.6015715,-0.5651202,-0.48412254,-0.5712263,0.82068515,0.2801626,0.35286516,0.31138372,0.33363008,2.5966299,0.0,0.0,0.0,0.0,0.71484923,0.73662806,-0.0785885,0.46652904,0.0,0.90675235,0.9000759,0.9062947,0.9484272,0.0,0.0,0.0,0.7632,0.0,0.0,0.0,0.0,0.7667666,0.90164423,0.85276,0.91532004,0.0,0.0,0.0,0.0,0.0,0.0,-0.6760476,0.76606107,0.73142487,0.90638006,0.76243085,-0.10838038,0.57907426,0.7632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.8606901,-1.3102726,14/02/2018 08:53:53,0.35038266,2.1827211,-1.2930449,-1.178035,-1.2270503,-1.2316694,0.0,-1.230278,-1.2337763,-1.2151151,0.0,-1.2211212,-1.213588,-1.216796,-0.2174359,0.027825125,-0.044731166,0.17574367,-0.28896737,0.4723278,-0.1553321,-0.17443688,0.18290927,-1.46418,-0.7553691,-0.8530172,-0.9024407,-0.8898924,-0.6602787,0.0,0.0,0.0,0.0,-1.2876467,-1.2962005,-0.07812871,-1.0747093,0.0,-1.2389463,-1.2378187,-1.2374743,-1.1629484,0.0,0.0,0.0,-1.3102726,0.0,0.0,0.0,0.0,-1.3041778,-1.2371844,-1.230278,-1.2211212,0.0,0.0,0.0,0.0,0.0,0.0,2.1827211,-1.178035,-1.2930449,-1.2270503,-1.3100688,-0.65425515,-1.1497017,-1.3102726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.8606901,-1.3102726,14/02/2018 09:34:42,0.24317817,1.0392137,-1.2930449,-1.178035,-1.2270503,-1.2316694,0.0,-1.230278,-1.2337763,-1.2151151,0.0,-1.2211212,-1.213588,-1.216796,-0.2458617,0.34863615,-0.1769963,0.0010127489,-0.1146786,0.37322232,0.17508234,-0.3083158,0.00933222,-1.338638,-0.7553691,-0.8530172,-0.9024407,-0.8898924,-0.6602787,0.0,0.0,0.0,0.0,-1.2876467,-1.2962005,-0.10666831,-1.0747093,0.0,-1.2389463,-1.2378187,-1.2374743,-1.1629484,0.0,0.0,0.0,-1.3102726,0.0,0.0,0.0,0.0,-1.3041778,-1.2371844,-1.230278,-1.2211212,0.0,0.0,0.0,0.0,0.0,0.0,1.0392137,-1.178035,-1.2930449,-1.2270503,-1.3100688,-0.65425515,-1.1497017,-1.3102726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.33028117,0.76320004,14/02/2018 11:23:01,-0.4687401,-0.6760476,0.73142487,0.73047125,0.36991793,0.8149609,0.0,0.8146265,0.8311641,0.3806157,0.0,0.37810078,0.38187614,0.2394058,-0.056344137,-0.52464396,-0.56127465,-0.59257644,-0.6375449,-0.6065307,-0.5799767,-0.49731952,-0.5793754,0.6616652,0.5436161,0.65965813,0.17812449,0.30623475,-0.6602787,0.0,0.0,0.0,0.0,0.71484923,0.73662806,-0.09523078,0.2964057,0.0,0.36720532,0.5305633,0.4658475,0.16996796,0.0,0.0,0.0,0.7632,0.0,0.0,0.0,0.0,0.7667666,0.5319702,0.8146265,0.37810078,0.0,0.0,0.0,0.0,0.0,0.0,-0.6760476,0.73047125,0.73142487,0.36991793,0.76243085,3.4056885,0.57907426,0.7632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.33028117,0.76320004,14/02/2018 11:23:02,-0.39547515,-0.6760476,0.73142487,0.73047125,0.36991793,0.8149609,0.0,0.8146265,0.8311641,0.3806157,0.0,0.37810078,0.38187614,0.08095163,-0.090263404,-0.4589761,-0.54063815,-0.57771546,-0.6259256,-0.60144305,-0.5647355,-0.48824656,-0.57233983,1.4818732,0.7972769,0.95504755,0.2272592,0.36036345,-0.586258,0.0,0.0,0.0,0.0,0.71484923,0.73662806,-0.1098258,0.1472101,0.0,0.36720532,0.5305633,0.4658475,0.16996796,0.0,0.0,0.0,0.7632,0.0,0.0,0.0,0.0,0.7667666,0.5319702,0.8146265,0.37810078,0.0,0.0,0.0,0.0,0.0,0.0,-0.6760476,0.73047125,0.73142487,0.36991793,0.76243085,3.4056885,0.57907426,0.7632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.33028117,0.76320004,14/02/2018 11:27:59,-0.5682933,-0.6760476,0.73142487,0.76161236,0.90638006,0.8483558,0.0,0.8479932,0.86485785,0.9166621,0.0,0.91532004,0.91783303,0.89223766,0.0056603868,-0.61387396,-0.53650194,-0.5928312,-0.6375449,-0.60801256,-0.5844159,-0.49686447,-0.5805058,-0.03300079,0.17840604,0.23436904,0.33353332,0.3065912,-0.6602787,0.0,0.0,0.0,0.0,0.71484923,0.73662806,-0.06855104,0.5691356,0.0,0.90675235,0.8984263,0.90547585,0.9468145,0.0,0.0,0.0,0.7632,0.0,0.0,0.0,0.0,0.7667666,0.89999396,0.8479932,0.91532004,0.0,0.0,0.0,0.0,0.0,0.0,-0.6760476,0.76161236,0.73142487,0.90638006,0.76243085,-0.10838038,0.57907426,0.7632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
